name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type
09 18 2018 slice 5 cell 2,0.0,-12.611739337444305,131.09107037256052,75.06360486149788,-39.247725158929825,0.6400000000000017,63,91.64598242938519,-68.07671859949826,37.720000000000006,200.0,1.1678840006027733,7.649243942437902,NMC
07 27 2018 slice 3 cell 2,0.0,-15.816885977983475,117.68303216667235,78.26447114348412,-39.393700659275055,0.6000000000000172,57,163.2967685461044,-66.21794014513492,33.320000000000014,114.5098039215686,1.1666884229769496,12.038455183775445,NMC
09 17 2018 slice 9 cell 2,0.0,-9.545546025037766,81.58268146261598,74.53527860343456,-47.708477824926376,0.6800000000000139,54,228.99851951003086,-56.310860281884665,76.08000000000001,49.37499999999999,1.1522324932744599,11.831248382875643,NMC
07 27 2018 slice 3 cell 6,0.0,-9.964711964130402,118.09101183353272,86.31372824311256,-50.202783197164536,0.7199999999999984,45,204.93256746232524,-66.75912441045045,52.24000000000001,22.666666666666675,1.0972282121444545,13.042096146893309,NMC
09 17 2018 slice 10 cell 7,0.0,-17.57141202688217,122.36580348242873,64.0466995537281,-32.64304623007774,0.5599999999999772,51,128.37860746681685,-63.26485139636695,142.72000000000003,131.0,1.1190857324020789,9.06085880722143,NMC
09 18 2018 slice 4 cell 2,0.0,-10.43584942817688,134.27615862398466,66.12409092485905,-46.85815051198006,0.68,78,104.44507242739209,-74.83149082034825,19.759999999999998,169.0909090909091,1.2735575765549918,7.720076462600974,NMC
05 07 2018 slice 2 cell 2,0.0,-9.535633027553558,120.0617283950616,79.68926057219505,-41.304364800453186,0.6400000000000017,54,317.31115962564945,-43.17927850037814,41.920000000000016,45.0,1.0926856939347744,13.924610576727732,NMC
09 13 2018 slice 2 cell 2,0.0,-17.591308802366257,117.38934056007224,65.66240079700947,-37.76099532842636,0.4799999999999943,91,129.66406606137755,-60.788319328576335,9.400000000000006,168.85714285714286,1.0682493240242195,6.131408870421501,NMC
09 18 2018 slice 4 cell 7,0.0,-11.111244559288025,126.6911437472185,72.56520166993141,-45.93844711780548,0.6800000000000139,47,115.76087008416665,-77.39104143828153,37.76000000000002,198.46153846153845,1.1554069450705977,9.54841561438625,NMC
07 27 2018 slice 2 cell 2,0.0,-16.031920909881592,155.47847579189977,68.05657222867012,-34.50044244527817,0.6399999999999739,44,110.26990399509673,-57.26252582296729,160.68,130.34482758620692,1.071698858501575,6.428877340582044,NMC
09 17 2018 slice 9 cell 7,0.0,-11.968489736318588,131.92263202384683,70.62314637005329,-52.33908072113991,0.6399999999999739,60,184.27241839468473,-70.79135710678995,31.840000000000007,30.72765957446808,1.2190708911661523,11.446798961467135,NMC
12 15 2017 slice 3 cell 7,0.0,-7.237572222948074,116.51305683563733,70.01833617687225,-45.2878512442112,0.7600000000000107,53,151.17265950143346,-65.27405074596405,108.48000000000002,80.0,1.1671505335506855,9.785296985424985,NMC
09 18 2018 slice 3 cell 2,0.0,-11.560540646314621,113.917289100139,78.35458964109421,-41.13638401031494,0.7199999999999984,48,139.81832686066625,-64.70021021723747,35.680000000000014,170.90909090909093,1.0634665271716828,9.189994613265016,NMC
09 18 2018 slice 3 cell 7,0.0,-11.47029921412468,149.86555762175203,75.09992085397243,-45.83407938480377,0.6400000000000017,71,126.35534563660619,-64.4642357480526,43.00000000000001,56.57142857142857,1.3147354548665409,12.988083217842657,NMC
09 17 2018 slice 10 cell 2,5.138717591762543,-12.782417237758636,130.22827687776146,78.2829225063324,-41.77306219935417,0.7200000000000262,51,190.18567068874842,-69.44086382538082,52.88000000000001,95.23809523809523,1.067297297350149,9.223505305636134,NMC
09 17 2018 slice 10 cell 3,2.943471074104309,-15.751831233501434,101.73468025030525,68.64932924509048,-37.70577907562256,0.6800000000000139,34,184.45099700987348,-74.10467975169419,132.68,95.0,1.0678126491632904,11.945906977111637,NMC
12 15 2017 slice 2 cell 2,0.0,-10.22682711482048,115.3386062169223,88.06271478533745,-56.17111548781395,0.6800000000000139,42,264.7317544072866,-61.41221240743994,47.48,15.0,1.0466605956149633,14.106033216374456,NMC
09 18 2018 slice 1 cell 2,0.0,-9.21652838587761,134.1000967943973,73.36680963635445,-38.526661694049835,0.7999999999999952,39,154.98181416094295,-56.13944931149482,86.56,34.73684210526316,1.3719735428648527,11.262943554468812,NMC
07 27 2018 slice 5 cell 2,0.0,-15.126824378967285,136.13002285278995,71.52041792869568,-50.78870803117752,0.5999999999999894,58,244.95537798106682,-65.28427356749772,25.480000000000004,20.0,1.1613249945509874,13.170749274596204,NMC
07 17 2017 slice 3 cell 2,5.5111609399318695,-8.322127163410187,159.99999999999997,83.63380655646324,-41.6811965405941,0.7199999999999984,19,336.45379149913765,-68.93952033340932,26.96000000000001,20.0,1.0812146588477611,19.5520743334462,BPC
07 19 2017 slice 1 cell 3,0.0,-16.125168651342392,164.8860398860399,74.53472912311554,-41.81244969367981,0.5600000000000049,27,356.3207323849199,-70.86804725825787,34.16,27.166666666666657,1.1202048409167922,12.726491100438803,BPC
03 17 2017 slice 1 cell 7,0.0,-9.474754333496094,139.8097893740973,86.66911721229553,-30.590012669563293,0.7199999999999984,14,160.66533739864826,-60.101099614053965,31.040000000000013,110.0,1.1404393549691783,11.779529363614893,BPC
10 19 2016 slice 3 cell 7,0.0,-6.178446114063263,177.56701631701634,83.11397209763527,-41.512057185173035,0.7199999999999984,24,317.48552507162094,-69.67093878865242,15.280000000000001,36.0,1.0324463058921203,8.440502418426604,BPC
