name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type
04 28 2017 slice 1 cell 3,0.0,-14.94690403342247,128.5535117056857,70.48335298895836,-40.932677686214454,0.5599999999999911,61,201.11396576464185,-77.82736810058357,17.80000000000001,100.0,1.059837893612362,7.817706904582432,SC
09 12 2017 slice 1 cell 7,0.0,-20.77396959066391,110.23421235253288,64.46476094424725,-43.114520609378815,0.4799999999999943,126,139.6371870040894,-74.94083481371402,17.160000000000007,146.40776699029126,1.076860723565967,6.73580010668582,SC
03 17 2017 slice 3 cell 3,0.0,-16.901932656764984,136.4873949579831,58.17750096321106,-38.288895040750496,0.5199999999999927,71,257.24355150759226,-75.67403984278441,16.120000000000008,103.2967032967033,1.083266070453348,12.714474031513452,SC
06 27 2017 slice 1 cell 2,0.0,-19.838258624076843,119.30259006530208,62.99516744911671,-37.585366517305374,0.4800000000000082,67,182.28213003277776,-67.97400209188461,12.880000000000004,135.8974358974359,1.0817936581587684,7.615735464702105,SC
04 17 2017 slice 1 cell 2,0.0,-20.50754055380821,102.68176484725113,67.47992895543575,-37.06376627087593,0.5199999999999927,95,202.38482004404068,-68.8850598603487,14.760000000000007,100.0,1.0595525260050482,8.9435432331065,SC
06 16 2017 slice 1 cell 3,0.0,-22.311098873615265,102.67546660989292,70.98271325230598,-48.952922224998474,0.5599999999999772,103,269.7313144505024,-74.46510272085669,60.80000000000002,20.0,1.0937561523602002,7.827419027691785,SC
10 09 2017 slice 2 cell 2,0.0,-19.962236285209656,147.32613701072012,65.99368155002594,-31.938228756189343,0.5600000000000049,55,135.33910632133484,-64.89345121264458,74.92000000000002,192.25,1.0686104528582276,7.311120492275532,SC
01 19 2017 slice 1 cell 2,0.0,-20.99720388650894,104.09909909909906,69.97376307845116,-37.544604390859604,0.5200000000000066,61,200.71331678330898,-66.73809511139989,11.080000000000007,130.0,1.1024810779985523,9.397458024865786,SC
01 23 2017 slice 3 cell 2,0.0,-15.318766236305235,110.03086419753085,69.11110691726208,-41.058536618947976,0.5599999999999911,62,175.6629099249839,-61.656903460025795,14.40000000000001,90.0,1.0773174692294063,10.209698341234684,SC
06 28 2017 slice 3 cell 2,0.0,-15.769042074680328,115.91975732600734,62.349339947104454,-37.49093040823937,0.4800000000000082,135,120.00932973623276,-67.04044105887414,22.12,147.96116504854368,1.1013887985736437,6.822376920378747,SC
06 28 2017 slice 3 cell 6,0.0,-14.714743942022324,113.31340228399051,67.58593954145907,-39.31970521807671,0.4800000000000082,79,163.81928461790076,-68.36793078422548,13.999999999999998,160.0,1.0429935543342523,7.272510021879049,SC
03 29 2017 slice 4 cell 2,0.0,-14.00526612997055,106.09827323514456,75.42214542627335,-43.280046433210366,0.68,63,208.30894923210133,-64.3074025309086,22.00000000000001,40.0,1.0610265298403234,11.474463285908008,SC
03 28 2017 slice 6 cell 2,0.0,-23.939169943332672,104.84779925956377,59.7826074808836,-36.162164062261574,0.5199999999999927,87,178.19112785160544,-72.44010016530751,144.16,80.0,1.0588638908440804,6.572405607331642,SC
08 31 2017 slice 1 cell 2,0.0,-14.81141522526741,119.22872340425523,56.37498386204243,-40.504887700080864,0.5600000000000049,81,187.0639917254449,-72.51967525184155,17.68,106.94736842105264,1.0939369432321484,8.17441840370479,SC
02 10 2017 slice 4 cell 3,0.0,-21.240670233964924,111.28567839681534,71.46500796079636,-39.16430100798607,0.6400000000000017,65,151.19890648126596,-75.10689304530621,23.64000000000001,150.0,1.027045291616571,8.09893167893352,SC
