branch_points,depth,height,max_branch_angle,max_branch_order,max_path_angle,max_path_dist_to_soma,max_segment_length,max_tortuosity,mean_branch_angle,mean_intial_segment_radius,mean_neurite_radius,mean_path_angle,mean_tortuosity,min_branch_angle,min_path_angle,min_tortuosity,name,soma_radius,stems,tips,total_length,type,width
14,71.28999999999998,586.18,170.5766278540134,6,128.21321070173857,374.5035042387355,283.44230334843763,1.35095517330706,65.05103113211082,0.12375,0.11771428571428573,17.630691615964416,1.134414468636535,0.09359521849861634,0.0,1.0000143132215753,BPC_2017 10 02 slice 4 cell 2 rotated.swc,9.416107890844108,8,22,3051.241296605997,BPC,235.32
80,88.53999999999998,230.2,154.73177427534426,14,172.08789873392948,553.5748095360799,257.9440144368287,4.773516446209605,71.4905622746875,0.373125,0.08193452380952382,18.723852011158602,1.3369295184761192,0.05424673581830579,0.0,1.0000014006143156,HBC_2017 03 07 slice 1 cell 7 rotated.swc,11.461107456606829,8,89,8222.732413639598,HBC,424.48
115,92.13,295.88,164.46403433492222,17,173.7247506556628,395.4588207695488,210.0345586773901,2.9209762959383063,69.85999109719907,0.5083333333333334,0.07788702928870292,20.307039364291192,1.2358757077877245,2.3769576982080767,0.0,1.0003745428222293,SBC_2017 27 06 slice 1 cell 2 rotated.swc,6.0580965993946325,6,125,10251.468436974328,SBC,297.64
122,66.24,482.75,177.6111769316079,20,171.92560867960415,758.2812329046786,264.19918726412425,17.807525308444756,86.06183204879528,0.7115217391304348,0.15119402985074631,19.32052024404287,1.4707419019152237,0.023764323892848525,0.0,1.0,MC_2015 04 07 slice 2 cell 7.swc,11.71516041681527,23,147,15702.075918378858,MC,481.27
102,103.82,719.1800000000002,155.83595494580314,12,173.87619140911568,649.1188964085276,302.4006368185425,2.3794289392209094,66.86667657991036,0.4316666666666667,0.11113636363636363,17.349179610116867,1.2128889792329711,4.828137685860742,0.0,1.0000135460849766,DBC_2017 04 07 slice 2 cell 6 rotated.swc,9.584591724333707,12,119,14741.345900584223,DBC,333.42
180,85.4,339.35,174.50085449977638,19,179.74632015443677,594.0779641391167,174.81640120107656,2.394173718822456,74.75535655588659,0.3983333333333334,0.07790322580645162,22.088893600976625,1.2676771716436521,0.06103373035556299,0.0,1.0,SBC_2017 29 03 slice 4 cell 7 rotated.swc,8.607344560022721,6,193,13613.345453828179,SBC,376.68
149,81.03,510.11,162.92283185230582,17,178.6076952296226,620.0159638529435,354.9060381421773,4.621109986071064,69.35208542220339,0.37625,0.07516077170418009,19.62960657858357,1.2830590560529411,0.17381705345984552,0.0,1.0000191325174732,DBC_2017 25 09 slice 2 cell 7 rotated.swc,10.228211681884973,8,163,15180.377616430964,DBC,319.80999999999995
154,85.77,662.8299999999998,172.0859938179184,16,171.08507304285465,661.6724431480458,260.17097214196014,1.8367532685410901,62.69190557644538,0.5825,0.08873417721518988,18.428556585787412,1.205893671237745,0.0494032278126714,0.0,1.0000050784792391,LBC_2016 19 10 slice 2 cell 2 rotated.swc,12.594183934512253,6,163,16881.128964965923,LBC,580.1800000000002
110,78.77,177.76999999999995,154.75695655526238,23,178.61964592655588,380.8096989511259,170.68404998012727,167.94024601814903,70.54977129535422,0.31833333333333336,0.0722566371681416,20.89195021561721,1.99678218998304,1.0199827287606145,0.0,1.000131200890093,HBC_2017 18 09 slice 1 cell6 rotated.swc,7.5956873047850895,6,118,8043.995446716974,HBC,435.85
105,75.06,346.65,174.3109301256867,14,169.1084094237814,420.89590467915167,188.10538317389526,2.1770798949515213,77.26241413905876,0.4890000000000001,0.11815789473684213,19.29107028639533,1.2099877294661292,6.123287535354847,0.0,1.000001616632323,SBC_2017 29 06 slice 3 cell 2 rotated.swc,9.40236811399666,10,124,10275.123465562092,SBC,349.8400000000001
