,avg_test_score,avg_training_score,brier_score,f1_score,group_a,group_b,run_id
0,1.0,1.0,0.0,1.0,BPC,DBC,1
1,1.0,1.0,0.0,1.0,BPC,DBC,2
2,1.0,1.0,0.0,1.0,BPC,DBC,3
3,1.0,1.0,0.0,1.0,BPC,DBC,4
4,1.0,1.0,0.0,1.0,BPC,DBC,5
5,1.0,1.0,0.0,1.0,BPC,DBC,6
6,1.0,1.0,0.0,1.0,BPC,DBC,7
7,1.0,1.0,0.0,1.0,BPC,DBC,8
8,1.0,1.0,0.0,1.0,BPC,DBC,9
9,1.0,1.0,0.0,1.0,BPC,DBC,10
10,1.0,1.0,0.0,1.0,BPC,DBC,11
11,1.0,1.0,0.0,1.0,BPC,DBC,12
12,1.0,1.0,0.0,1.0,BPC,DBC,13
13,1.0,1.0,0.0,1.0,BPC,DBC,14
14,1.0,1.0,0.0,1.0,BPC,DBC,15
15,1.0,1.0,0.0,1.0,BPC,DBC,16
16,1.0,1.0,0.0,1.0,BPC,DBC,17
17,1.0,1.0,0.0,1.0,BPC,DBC,18
18,1.0,1.0,0.0,1.0,BPC,DBC,19
19,1.0,1.0,0.0,1.0,BPC,DBC,20
20,1.0,1.0,0.0,1.0,BPC,DBC,21
21,1.0,1.0,0.0,1.0,BPC,DBC,22
22,1.0,1.0,0.0,1.0,BPC,DBC,23
23,1.0,1.0,0.0,1.0,BPC,DBC,24
24,1.0,1.0,0.0,1.0,BPC,DBC,25
25,1.0,1.0,0.0,1.0,BPC,DBC,26
26,1.0,1.0,0.0,1.0,BPC,DBC,27
27,1.0,1.0,0.0,1.0,BPC,DBC,28
28,1.0,1.0,0.0,1.0,BPC,DBC,29
29,1.0,1.0,0.0,1.0,BPC,DBC,30
30,1.0,1.0,0.0,1.0,BPC,DBC,31
31,1.0,1.0,0.0,1.0,BPC,DBC,32
32,1.0,1.0,0.0,1.0,BPC,DBC,33
33,1.0,1.0,0.0,1.0,BPC,DBC,34
34,1.0,1.0,0.0,1.0,BPC,DBC,35
35,1.0,1.0,0.0,1.0,BPC,DBC,36
36,1.0,1.0,0.0,1.0,BPC,DBC,37
37,1.0,1.0,0.0,1.0,BPC,DBC,38
38,1.0,1.0,0.0,1.0,BPC,DBC,39
39,1.0,1.0,0.0,1.0,BPC,DBC,40
40,1.0,1.0,0.0,1.0,BPC,DBC,41
41,1.0,1.0,0.0,1.0,BPC,DBC,42
42,1.0,1.0,0.0,1.0,BPC,DBC,43
43,1.0,1.0,0.0,1.0,BPC,DBC,44
44,1.0,1.0,0.0,1.0,BPC,DBC,45
45,1.0,1.0,0.0,1.0,BPC,DBC,46
46,1.0,1.0,0.0,1.0,BPC,DBC,47
47,1.0,1.0,0.0,1.0,BPC,DBC,48
48,1.0,1.0,0.0,1.0,BPC,DBC,49
49,1.0,1.0,0.0,1.0,BPC,DBC,50
50,1.0,1.0,0.0,1.0,BPC,HBC,1
51,1.0,1.0,0.0,1.0,BPC,HBC,2
52,1.0,1.0,0.0,1.0,BPC,HBC,3
53,1.0,1.0,0.0,1.0,BPC,HBC,4
54,1.0,1.0,0.0,1.0,BPC,HBC,5
55,1.0,1.0,0.0,1.0,BPC,HBC,6
56,1.0,1.0,0.0,1.0,BPC,HBC,7
57,1.0,1.0,0.0,1.0,BPC,HBC,8
58,1.0,1.0,0.0,1.0,BPC,HBC,9
59,1.0,1.0,0.0,1.0,BPC,HBC,10
60,1.0,1.0,0.0,1.0,BPC,HBC,11
61,1.0,1.0,0.0,1.0,BPC,HBC,12
62,1.0,1.0,0.0,1.0,BPC,HBC,13
63,1.0,1.0,0.0,1.0,BPC,HBC,14
64,1.0,1.0,0.0,1.0,BPC,HBC,15
65,1.0,1.0,0.0,1.0,BPC,HBC,16
66,1.0,1.0,0.0,1.0,BPC,HBC,17
67,1.0,1.0,0.0,1.0,BPC,HBC,18
68,1.0,1.0,0.0,1.0,BPC,HBC,19
69,1.0,1.0,0.0,1.0,BPC,HBC,20
70,1.0,1.0,0.0,1.0,BPC,HBC,21
71,1.0,1.0,0.0,1.0,BPC,HBC,22
72,1.0,1.0,0.0,1.0,BPC,HBC,23
73,1.0,1.0,0.0,1.0,BPC,HBC,24
74,1.0,1.0,0.0,1.0,BPC,HBC,25
75,1.0,1.0,0.0,1.0,BPC,HBC,26
76,1.0,1.0,0.0,1.0,BPC,HBC,27
77,1.0,1.0,0.0,1.0,BPC,HBC,28
78,1.0,1.0,0.0,1.0,BPC,HBC,29
79,1.0,1.0,0.0,1.0,BPC,HBC,30
80,1.0,1.0,0.0,1.0,BPC,HBC,31
81,1.0,1.0,0.0,1.0,BPC,HBC,32
82,1.0,1.0,0.0,1.0,BPC,HBC,33
83,1.0,1.0,0.0,1.0,BPC,HBC,34
84,1.0,1.0,0.0,1.0,BPC,HBC,35
85,1.0,1.0,0.0,1.0,BPC,HBC,36
86,1.0,1.0,0.0,1.0,BPC,HBC,37
87,1.0,1.0,0.0,1.0,BPC,HBC,38
88,1.0,1.0,0.0,1.0,BPC,HBC,39
89,1.0,1.0,0.0,1.0,BPC,HBC,40
90,1.0,1.0,0.0,1.0,BPC,HBC,41
91,1.0,1.0,0.0,1.0,BPC,HBC,42
92,1.0,1.0,0.0,1.0,BPC,HBC,43
93,1.0,1.0,0.0,1.0,BPC,HBC,44
94,1.0,1.0,0.0,1.0,BPC,HBC,45
95,1.0,1.0,0.0,1.0,BPC,HBC,46
96,1.0,1.0,0.0,1.0,BPC,HBC,47
97,1.0,1.0,0.0,1.0,BPC,HBC,48
98,1.0,1.0,0.0,1.0,BPC,HBC,49
99,1.0,1.0,0.0,1.0,BPC,HBC,50
100,1.0,1.0,0.0,1.0,BPC,LBC,1
101,1.0,1.0,0.0,1.0,BPC,LBC,2
102,1.0,1.0,0.0,1.0,BPC,LBC,3
103,1.0,1.0,0.0,1.0,BPC,LBC,4
104,1.0,1.0,0.0,1.0,BPC,LBC,5
105,1.0,1.0,0.0,1.0,BPC,LBC,6
106,1.0,1.0,0.0,1.0,BPC,LBC,7
107,1.0,1.0,0.0,1.0,BPC,LBC,8
108,1.0,1.0,0.0,1.0,BPC,LBC,9
109,1.0,1.0,0.0,1.0,BPC,LBC,10
110,1.0,1.0,0.0,1.0,BPC,LBC,11
111,1.0,1.0,0.0,1.0,BPC,LBC,12
112,1.0,1.0,0.0,1.0,BPC,LBC,13
113,1.0,1.0,0.0,1.0,BPC,LBC,14
114,1.0,1.0,0.0,1.0,BPC,LBC,15
115,1.0,1.0,0.0,1.0,BPC,LBC,16
116,1.0,1.0,0.0,1.0,BPC,LBC,17
117,1.0,1.0,0.0,1.0,BPC,LBC,18
118,1.0,1.0,0.0,1.0,BPC,LBC,19
119,1.0,1.0,0.0,1.0,BPC,LBC,20
120,1.0,1.0,0.0,1.0,BPC,LBC,21
121,1.0,1.0,0.0,1.0,BPC,LBC,22
122,1.0,1.0,0.0,1.0,BPC,LBC,23
123,1.0,1.0,0.0,1.0,BPC,LBC,24
124,1.0,1.0,0.0,1.0,BPC,LBC,25
125,1.0,1.0,0.0,1.0,BPC,LBC,26
126,1.0,1.0,0.0,1.0,BPC,LBC,27
127,1.0,1.0,0.0,1.0,BPC,LBC,28
128,1.0,1.0,0.0,1.0,BPC,LBC,29
129,1.0,1.0,0.0,1.0,BPC,LBC,30
130,1.0,1.0,0.0,1.0,BPC,LBC,31
131,1.0,1.0,0.0,1.0,BPC,LBC,32
132,1.0,1.0,0.0,1.0,BPC,LBC,33
133,1.0,1.0,0.0,1.0,BPC,LBC,34
134,1.0,1.0,0.0,1.0,BPC,LBC,35
135,1.0,1.0,0.0,1.0,BPC,LBC,36
136,1.0,1.0,0.0,1.0,BPC,LBC,37
137,1.0,1.0,0.0,1.0,BPC,LBC,38
138,1.0,1.0,0.0,1.0,BPC,LBC,39
139,1.0,1.0,0.0,1.0,BPC,LBC,40
140,1.0,1.0,0.0,1.0,BPC,LBC,41
141,1.0,1.0,0.0,1.0,BPC,LBC,42
142,1.0,1.0,0.0,1.0,BPC,LBC,43
143,1.0,1.0,0.0,1.0,BPC,LBC,44
144,1.0,1.0,0.0,1.0,BPC,LBC,45
145,1.0,1.0,0.0,1.0,BPC,LBC,46
146,1.0,1.0,0.0,1.0,BPC,LBC,47
147,1.0,1.0,0.0,1.0,BPC,LBC,48
148,1.0,1.0,0.0,1.0,BPC,LBC,49
149,1.0,1.0,0.0,1.0,BPC,LBC,50
150,1.0,1.0,0.0,1.0,BPC,MC,1
151,1.0,1.0,0.0,1.0,BPC,MC,2
152,1.0,1.0,0.0,1.0,BPC,MC,3
153,1.0,1.0,0.0,1.0,BPC,MC,4
154,1.0,1.0,0.0,1.0,BPC,MC,5
155,1.0,1.0,0.0,1.0,BPC,MC,6
156,1.0,1.0,0.0,1.0,BPC,MC,7
157,1.0,1.0,0.0,1.0,BPC,MC,8
158,1.0,1.0,0.0,1.0,BPC,MC,9
159,1.0,1.0,0.0,1.0,BPC,MC,10
160,1.0,1.0,0.0,1.0,BPC,MC,11
161,1.0,1.0,0.0,1.0,BPC,MC,12
162,1.0,1.0,0.0,1.0,BPC,MC,13
163,1.0,1.0,0.0,1.0,BPC,MC,14
164,1.0,1.0,0.0,1.0,BPC,MC,15
165,1.0,1.0,0.0,1.0,BPC,MC,16
166,1.0,1.0,0.0,1.0,BPC,MC,17
167,1.0,1.0,0.0,1.0,BPC,MC,18
168,1.0,1.0,0.0,1.0,BPC,MC,19
169,1.0,1.0,0.0,1.0,BPC,MC,20
170,1.0,1.0,0.0,1.0,BPC,MC,21
171,1.0,1.0,0.0,1.0,BPC,MC,22
172,1.0,1.0,0.0,1.0,BPC,MC,23
173,1.0,1.0,0.0,1.0,BPC,MC,24
174,1.0,1.0,0.0,1.0,BPC,MC,25
175,1.0,1.0,0.0,1.0,BPC,MC,26
176,1.0,1.0,0.0,1.0,BPC,MC,27
177,1.0,1.0,0.0,1.0,BPC,MC,28
